name,image
fanclubwallet,https://i.scdn.co/image/ab6761610000e5eb2b8429a5596b4639f01dd7af
Dua Lipa,https://i.scdn.co/image/ab6761610000e5eb1bbee4a02f85ecc58d385c3e
Melt,https://i.scdn.co/image/ab6761610000e5eb37f1f9561ca834f48e22d37a
Couch,https://i.scdn.co/image/ab6761610000e5eb8716684e687c3b0b8d52014e
The Struts,https://i.scdn.co/image/ab6761610000e5ebe8099ddd876f6b4eeeb91486
Vulfpeck,https://i.scdn.co/image/ab6761610000e5eb3f8c36a57018e5221c8c458c
Arctic Monkeys,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
Frank Sinatra,https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411
Lord Huron,https://i.scdn.co/image/ab6761610000e5eb1d4e4e7e3c5d8fa494fc5f10
Avicii,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113
Gorillaz,https://i.scdn.co/image/ab6761610000e5eb337d671a32b2f44d4a4e6cf2
Joji,https://i.scdn.co/image/ab6761610000e5eb4111c95b5f430c3265c7304b
AJR,https://i.scdn.co/image/ab6761610000e5ebe65fa0329c232ac6f5040f80
Panic! At The Disco,https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Olivia Rodrigo,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Billie Eilish,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf
Miley Cyrus,https://i.scdn.co/image/ab6761610000e5ebb5af3b38f053486ab0784dee
Selena Gomez,https://i.scdn.co/image/ab6761610000e5eb0c8eb928813cd06614c0710d
Cascada,https://i.scdn.co/image/ab6761610000e5eba753dbba29da937cc0f4224b
